index,period_start,period_end,symbol,source
SET100,2016-07-01,2016-12-31,SGP,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,SIRI,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,SPALI,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,SPCG,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,STEC,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,STPI,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,SVI,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TASCO,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TCAP,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,THAI,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,THCOM,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TISCO,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TMB,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TOP,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TPIPL,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TRC,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TRUE,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TTA,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TTCL,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TTW,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TU,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,TVO,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,UNIQ,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,VGI,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,VNG,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,WHA,SET50_100_H2_2016-PSH.pdf
SET100,2016-07-01,2016-12-31,WORK,SET50_100_H2_2016-PSH.pdf
SET100,2017-01-01,2017-06-30,AAV,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,ADVANC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,AMATA,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,AOT,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,AP,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BA,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BANPU,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BBL,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BCH,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BCP,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BDMS,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BEAUTY,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BEC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BEM,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BH,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BIG,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BLA,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BLAND,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,BTS,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CBG,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CENTEL,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CHG,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CK,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CKP,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,COM7,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CPALL,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CPF,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,CPN,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,DELTA,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,DTAC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,EGCO,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,EPG,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,GLOBAL,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,GLOW,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,GPSC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,GUNKUL,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,HANA,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,HMPRO,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,ICHI,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,IFEC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,INTUCH,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,IRPC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,ITD,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,IVL,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,KAMART,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,KBANK,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,KCE,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,KKP,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,KTB,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,KTC,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,LH,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,LHBANK,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,LPN,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,MAJOR,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,MINT,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,MTLS,SET50_100_H1_2017_v2.pdf
SET100,2017-01-01,2017-06-30,PLANB,SET50_100_H1_2017_v2.pdf
